"Table 1.3.4. Price Indexes for Gross Value Added by Sector"
"[Index numbers, 2009=100] Seasonally adjusted" 
"Bureau of Economic Analysis" 
"Last Revised on: January 29, 2016 - Next Release Date February 26, 2016"
"Line"," ","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"Line"," ","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV"
"1","        Gross domestic product",14.883,14.941,15.053,15.107,15.124,15.158,15.215,15.262,15.326,15.355,15.341,15.363,15.422,15.509,15.616,15.719,15.875,16.025,16.201,16.303,16.487,16.604,16.733,16.830,16.970,17.042,17.083,17.104,17.189,17.237,17.308,17.375,17.410,17.473,17.552,17.631,17.651,17.688,17.727,17.769,17.859,17.908,17.950,17.992,18.080,18.094,18.112,18.231,18.300,18.355,18.447,18.526,18.606,18.692,18.778,18.900,19.016,19.189,19.359,19.518,19.600,19.717,19.894,20.112,20.332,20.559,20.757,21.047,21.259,21.540,21.847,22.120,22.425,22.749,22.935,23.234,23.589,23.905,24.146,24.345,24.742,24.891,25.111,25.394,25.720,26.142,26.631,27.092,27.644,28.262,29.124,30.008,30.686,31.134,31.688,32.216,32.563,32.889,33.309,33.868,34.411,34.952,35.437,36.034,36.637,37.338,37.987,38.759,39.470,40.411,41.235,42.044,42.955,43.895,44.903,46.165,47.358,48.197,49.096,49.980,50.652,51.278,52.001,52.566,53.013,53.371,53.929,54.320,54.885,55.370,55.827,56.174,56.839,57.161,57.528,57.837,58.118,58.334,58.606,58.960,59.306,59.694,60.135,60.605,61.075,61.681,62.426,62.961,63.602,64.271,64.744,65.174,65.901,66.580,67.180,67.702,68.373,68.832,69.328,69.694,70.014,70.457,70.785,71.275,71.704,72.136,72.504,72.913,73.291,73.652,74.021,74.440,74.890,75.226,75.548,75.908,76.296,76.584,76.932,77.257,77.637,77.998,78.225,78.493,78.606,78.786,79.071,79.278,79.575,79.908,80.191,80.585,81.184,81.631,82.154,82.591,83.117,83.699,83.970,84.233,84.480,84.829,85.204,85.649,86.184,86.463,86.932,87.363,88.115,88.856,89.438,90.063,90.894,91.549,92.399,93.098,93.816,94.589,95.250,95.591,96.659,97.216,97.538,97.945,98.506,98.941,99.619,99.805,100.045,99.889,99.882,100.183,100.517,100.981,101.444,101.963,102.409,103.170,103.770,103.913,104.466,104.930,105.547,105.937,106.333,106.625,107.154,107.630,108.025,108.621,109.049,109.081,109.112,109.685,110.045,110.260
"2","Business 1",18.239,18.280,18.390,18.430,18.431,18.443,18.522,18.568,18.644,18.627,18.583,18.567,18.649,18.699,18.833,18.941,19.134,19.307,19.528,19.644,19.869,19.994,20.146,20.248,20.385,20.420,20.461,20.473,20.548,20.594,20.679,20.752,20.763,20.840,20.895,20.979,20.989,21.002,21.037,21.079,21.170,21.223,21.257,21.254,21.336,21.330,21.344,21.440,21.494,21.549,21.648,21.731,21.808,21.898,21.966,22.072,22.186,22.388,22.571,22.765,22.838,22.945,23.149,23.359,23.609,23.876,24.047,24.374,24.626,24.954,25.218,25.502,25.738,26.079,26.234,26.561,26.854,27.180,27.420,27.574,27.927,28.050,28.283,28.546,28.878,29.362,29.960,30.484,31.195,31.943,33.033,34.099,34.924,35.391,36.038,36.599,36.950,37.301,37.794,38.416,39.002,39.594,40.108,40.686,41.518,42.248,42.935,43.814,44.663,45.858,46.769,47.610,48.677,49.747,50.878,52.170,53.577,54.524,55.559,56.423,57.131,57.820,58.579,59.065,59.524,59.835,60.430,60.787,61.262,61.715,62.134,62.439,63.191,63.478,63.801,64.019,64.249,64.356,64.544,64.836,65.112,65.458,65.952,66.245,66.776,67.345,68.213,68.753,69.382,70.118,70.543,70.913,71.675,72.319,72.868,73.400,74.026,74.430,74.907,75.160,75.293,75.612,75.936,76.463,76.940,77.420,77.776,78.168,78.440,78.746,79.110,79.473,79.863,80.203,80.512,80.771,81.066,81.452,81.773,82.059,82.383,82.732,82.902,83.112,83.109,83.148,83.302,83.307,83.431,83.589,83.808,84.102,84.615,85.085,85.530,85.921,86.344,86.863,86.936,86.980,86.948,87.244,87.547,87.879,88.232,88.386,88.782,89.080,89.731,90.415,90.882,91.582,92.352,93.016,93.933,94.619,95.159,95.876,96.495,96.638,97.620,98.205,98.437,98.738,99.128,99.507,100.180,100.078,100.259,99.869,99.784,100.088,100.485,100.878,101.317,101.943,102.361,103.163,103.822,104.025,104.481,105.016,105.703,106.021,106.403,106.613,107.109,107.442,107.804,108.407,108.727,108.564,108.522,109.120,109.382,109.453
"3","    Nonfarm 2",17.313,17.403,17.494,17.616,17.667,17.755,17.845,17.948,17.980,18.003,17.981,17.994,18.085,18.138,18.296,18.465,18.647,18.780,19.014,19.140,19.375,19.502,19.594,19.697,19.776,19.794,19.856,19.919,20.043,20.083,20.161,20.262,20.283,20.327,20.407,20.475,20.493,20.534,20.549,20.559,20.653,20.728,20.750,20.733,20.843,20.849,20.843,20.971,21.028,21.093,21.199,21.268,21.339,21.368,21.456,21.533,21.595,21.822,21.987,22.242,22.349,22.473,22.666,22.881,23.120,23.372,23.523,23.849,24.134,24.406,24.647,24.897,25.162,25.535,25.666,26.035,26.312,26.630,26.878,26.979,27.311,27.421,27.592,27.765,27.928,28.235,28.599,29.266,29.914,31.003,31.962,32.943,34.036,34.559,35.107,35.611,36.013,36.411,36.921,37.599,38.135,38.748,39.267,39.963,40.581,41.198,41.917,42.743,43.474,44.720,45.685,46.583,47.774,49.116,49.893,50.965,52.556,53.628,54.753,55.785,56.495,57.185,57.894,58.498,58.758,58.993,59.691,60.029,60.324,60.862,61.371,61.694,62.501,62.917,63.389,63.521,63.859,63.899,63.974,64.222,64.576,64.929,65.449,65.719,66.182,66.757,67.501,68.159,68.642,69.455,69.919,70.264,70.999,71.658,72.248,72.853,73.525,73.899,74.464,74.689,74.814,75.163,75.494,76.033,76.520,76.937,77.363,77.688,77.923,78.319,78.810,79.135,79.494,79.835,80.085,80.276,80.533,80.840,81.134,81.543,81.945,82.333,82.569,82.776,82.790,82.812,83.020,83.001,83.165,83.412,83.667,83.989,84.554,84.967,85.480,85.830,86.217,86.680,86.702,86.908,86.776,87.235,87.507,87.812,88.178,88.291,88.599,88.729,89.387,89.946,90.573,91.341,92.178,92.892,93.841,94.549,95.132,95.932,96.459,96.504,97.389,97.939,98.089,98.340,98.716,99.122,99.860,99.941,100.268,99.863,99.854,100.015,100.391,100.796,101.157,101.648,101.877,102.586,103.208,103.531,103.984,104.528,105.105,105.342,105.655,105.979,106.572,107.028,107.369,107.880,108.337,108.220,108.358,108.968,109.248,109.423
"4","    Farm",100.319,96.764,98.391,92.469,88.644,83.071,82.390,78.071,81.355,78.704,77.168,75.091,74.575,74.373,72.724,68.270,69.454,72.870,72.225,71.642,71.198,71.181,76.258,76.470,81.173,82.533,80.966,76.867,72.957,73.673,74.373,72.221,71.410,74.282,72.237,73.531,72.941,70.789,72.410,75.281,75.115,73.345,74.334,75.595,73.279,72.135,74.038,71.083,70.927,70.065,69.516,70.868,71.517,77.711,75.779,78.907,84.556,82.190,84.477,77.761,74.155,72.671,73.995,73.619,74.965,76.814,79.359,79.746,76.221,82.802,85.668,89.662,86.498,83.338,85.991,81.717,83.875,85.073,84.339,90.213,92.813,94.456,101.854,112.255,132.703,154.946,185.065,167.279,175.347,133.233,149.879,161.091,130.705,125.122,136.678,143.632,138.365,133.399,132.042,125.875,132.496,130.112,129.746,115.946,142.366,157.548,153.398,160.559,176.576,170.488,163.805,157.020,142.749,111.592,153.982,181.038,158.851,145.240,137.256,122.811,123.444,124.489,130.710,121.096,142.275,152.508,136.857,138.896,164.138,153.188,142.529,141.081,136.287,122.911,108.315,117.005,105.696,113.023,125.450,130.472,122.394,121.851,119.543,122.470,130.799,130.611,147.306,131.073,150.844,142.088,137.674,141.012,144.907,143.831,139.699,132.249,127.753,131.308,121.999,125.196,126.119,123.513,123.303,122.751,122.066,129.673,121.097,129.269,132.825,124.006,111.732,115.562,118.654,118.082,126.034,135.411,140.532,149.863,153.240,138.904,130.271,126.376,119.171,119.649,117.691,119.691,113.269,116.260,111.367,100.445,96.156,93.203,87.750,94.667,87.729,92.431,96.710,103.815,110.302,91.257,104.149,83.292,87.390,91.114,90.556,95.085,104.632,124.303,123.745,137.560,120.056,113.679,107.730,103.250,100.900,99.413,95.210,87.258,97.161,108.409,120.974,125.866,136.810,143.351,144.677,141.443,134.009,113.486,99.054,100.457,93.555,106.934,109.526,108.846,116.610,130.588,150.130,160.698,165.403,152.831,153.407,152.661,165.806,175.080,182.593,169.985,160.259,148.265,150.956,161.128,147.711,143.021,125.323,124.712,123.304,114.264
"5","Households and institutions",8.998,9.099,9.261,9.308,9.434,9.576,9.691,9.685,9.723,9.796,9.847,10.003,9.889,9.922,10.011,10.142,10.104,10.133,10.263,10.353,10.392,10.463,10.544,10.559,10.627,10.785,10.760,10.767,10.869,10.938,11.018,11.123,11.161,11.232,11.272,11.343,11.370,11.442,11.483,11.530,11.595,11.662,11.728,11.776,11.842,11.906,11.944,12.034,12.114,12.151,12.189,12.254,12.293,12.391,12.460,12.566,12.616,12.729,12.860,12.999,13.128,13.207,13.275,13.338,13.442,13.546,13.682,13.883,14.028,14.228,14.510,14.830,15.029,15.272,15.469,15.658,15.919,16.121,16.322,16.600,16.757,16.924,17.092,17.348,17.598,17.877,18.116,18.374,18.558,18.847,19.164,19.500,19.806,20.086,20.457,20.887,21.305,21.600,21.922,22.285,22.788,23.263,23.776,24.352,24.070,25.103,25.978,26.522,26.720,27.075,27.687,28.469,29.109,29.838,30.605,31.513,32.268,32.997,33.813,34.561,35.173,35.593,36.273,36.910,37.346,37.871,38.364,38.874,39.404,40.101,40.741,41.109,41.210,41.799,42.478,42.988,43.528,44.070,44.570,45.050,45.752,46.309,46.511,48.055,47.951,48.768,49.193,49.722,50.163,50.641,51.246,51.852,52.411,53.232,54.189,54.381,54.960,55.603,55.996,56.592,57.143,57.840,58.006,58.329,58.594,58.845,59.130,59.604,60.302,60.742,61.172,61.656,62.299,62.731,63.167,63.720,64.307,64.676,65.135,65.592,65.981,66.378,66.803,67.175,67.525,68.239,69.006,69.887,70.454,71.326,71.551,72.221,72.957,73.301,73.911,74.347,75.189,76.090,76.995,78.042,78.972,79.616,80.293,80.883,81.437,81.948,82.626,83.566,83.890,84.742,85.796,86.002,86.506,87.113,87.681,88.476,89.501,90.595,91.548,92.620,93.445,93.824,94.355,95.216,95.990,96.494,97.319,98.779,99.253,100.113,100.181,100.453,99.391,99.760,100.213,100.288,100.875,101.364,101.769,101.919,102.772,103.097,103.582,104.205,104.606,105.215,105.882,106.438,107.421,107.942,108.754,109.615,109.629,110.109,110.980,111.705
"6","    Households",11.085,11.466,11.777,11.735,11.770,12.035,12.247,12.281,12.269,12.344,12.396,12.536,12.493,12.425,12.541,12.687,12.695,12.692,12.787,12.827,12.870,12.972,13.079,13.101,13.106,13.314,13.336,13.340,13.378,13.460,13.577,13.678,13.715,13.758,13.827,13.868,13.894,13.965,14.000,14.013,14.088,14.115,14.174,14.209,14.267,14.307,14.335,14.392,14.440,14.484,14.532,14.560,14.603,14.675,14.713,14.765,14.856,14.912,14.961,15.078,15.161,15.205,15.273,15.398,15.548,15.697,15.802,15.946,16.082,16.218,16.402,16.588,16.795,16.979,17.164,17.374,17.581,17.788,17.993,18.125,18.315,18.446,18.637,18.808,19.087,19.288,19.479,19.707,19.855,20.032,20.305,20.614,21.020,21.304,21.632,22.077,22.526,22.844,23.172,23.532,24.293,24.807,25.264,25.685,26.081,26.504,26.942,27.518,27.966,28.484,29.233,30.132,30.657,31.272,32.076,33.076,33.859,34.701,35.689,36.689,37.444,37.954,38.733,39.452,39.936,40.524,40.942,41.341,41.900,42.585,43.178,43.477,43.184,43.861,44.606,45.208,45.883,46.632,47.098,47.690,48.240,48.953,49.254,49.988,50.716,51.137,51.684,52.230,52.785,53.360,54.045,54.785,55.377,56.245,57.292,57.558,58.020,58.341,58.565,59.179,59.757,60.094,60.332,60.703,61.240,61.675,61.931,62.350,62.889,63.371,63.746,64.213,64.858,65.483,66.093,66.769,67.301,67.760,68.207,68.630,69.150,69.639,70.235,70.750,71.409,72.099,72.780,73.477,73.976,74.476,74.878,75.256,75.993,76.453,77.002,77.678,78.457,79.336,80.216,81.279,82.221,82.871,83.415,83.895,84.366,84.493,84.862,85.475,85.884,86.460,86.872,87.246,87.855,88.291,88.724,89.234,89.926,91.002,92.155,93.221,94.045,94.549,94.982,95.779,96.382,96.925,97.709,98.559,99.706,100.094,100.301,99.899,99.670,99.532,99.579,99.770,100.184,100.562,101.055,101.474,101.916,102.398,102.827,103.262,103.806,104.300,104.792,105.449,106.205,106.823,107.478,108.134,108.871,109.709,110.548,111.295
"7","    Nonprofit institutions serving households 3",6.004,5.708,5.656,5.832,6.087,6.053,6.027,5.964,6.074,6.143,6.194,6.376,6.154,6.339,6.390,6.501,6.392,6.469,6.657,6.825,6.859,6.886,6.928,6.932,7.100,7.183,7.087,7.098,7.301,7.352,7.378,7.492,7.532,7.648,7.644,7.763,7.791,7.865,7.917,8.018,8.069,8.201,8.279,8.348,8.426,8.529,8.585,8.727,8.859,8.887,8.909,9.032,9.066,9.207,9.326,9.514,9.507,9.704,9.960,10.133,10.334,10.467,10.537,10.510,10.550,10.593,10.773,11.052,11.211,11.501,11.919,12.428,12.615,12.943,13.158,13.316,13.656,13.852,14.048,14.537,14.648,14.867,15.005,15.383,15.594,15.987,16.296,16.598,16.836,17.290,17.673,18.051,18.215,18.492,18.927,19.337,19.713,19.979,20.294,20.664,20.809,21.230,21.822,22.618,21.359,23.281,24.799,25.299,25.137,25.259,25.681,26.298,27.111,28.010,28.728,29.510,30.230,30.802,31.378,31.777,32.196,32.495,33.043,33.571,33.943,34.387,34.979,35.639,36.131,36.846,37.547,38.009,38.641,39.111,39.699,40.084,40.444,40.708,41.256,41.589,42.495,42.847,42.920,45.519,44.337,45.658,45.927,46.432,46.728,47.083,47.585,48.023,48.542,49.301,50.145,50.248,50.963,51.989,52.582,53.151,53.667,54.789,54.868,55.132,55.073,55.104,55.421,55.956,56.840,57.228,57.723,58.227,58.864,59.057,59.276,59.675,60.327,60.584,61.054,61.552,61.777,62.059,62.271,62.466,62.439,63.179,64.047,65.145,65.792,67.122,67.126,68.159,68.893,69.089,69.776,69.905,70.823,71.749,72.686,73.710,74.623,75.258,76.104,76.828,77.488,78.488,79.566,80.928,81.141,82.358,84.268,84.249,84.610,85.454,86.213,87.409,88.908,90.029,90.696,91.778,92.606,92.807,93.476,94.427,95.441,95.891,96.774,99.090,98.626,100.138,100.017,101.219,99.009,100.076,101.084,101.000,101.820,102.461,102.745,102.532,103.938,104.057,104.616,105.488,105.700,106.461,107.361,107.782,109.070,109.461,110.483,111.623,110.661,110.658,111.572,112.268
"8","General government 4",6.680,6.755,6.836,6.915,6.927,6.972,6.944,7.007,7.042,7.159,7.196,7.253,7.318,7.508,7.539,7.603,7.726,7.848,7.904,7.958,8.076,8.178,8.250,8.354,8.515,8.626,8.690,8.737,8.830,8.861,8.883,8.905,8.992,9.007,9.152,9.210,9.253,9.324,9.364,9.398,9.482,9.501,9.546,9.692,9.793,9.831,9.847,10.023,10.116,10.172,10.259,10.322,10.424,10.478,10.609,10.769,10.908,11.009,11.138,11.190,11.262,11.406,11.540,11.826,11.993,12.145,12.417,12.612,12.716,12.871,13.263,13.440,13.942,14.211,14.453,14.690,15.208,15.515,15.745,15.997,16.606,16.802,16.986,17.313,17.624,17.889,18.127,18.458,18.664,19.001,19.379,19.931,20.300,20.734,21.044,21.458,21.701,21.930,22.127,22.538,22.906,23.260,23.578,24.189,24.530,24.850,25.164,25.642,26.139,26.493,27.079,27.722,28.181,28.720,29.366,30.631,31.259,31.720,32.111,33.073,33.588,34.072,34.619,35.340,35.705,36.072,36.488,36.881,37.746,38.162,38.597,39.064,39.756,39.999,40.287,40.784,41.056,41.444,41.860,42.341,42.679,43.087,43.465,43.815,44.438,44.996,45.445,45.932,46.733,47.236,47.770,48.284,48.950,49.622,50.115,50.818,51.687,52.192,52.805,53.417,54.276,54.998,55.447,55.889,56.232,56.586,57.049,57.446,57.987,58.497,58.817,59.410,59.942,60.156,60.420,61.057,61.681,61.435,61.797,62.179,62.802,63.175,63.499,63.950,64.424,64.813,65.310,65.931,66.880,67.630,68.307,68.977,69.913,70.329,71.191,71.882,72.667,73.279,74.006,74.690,75.781,76.134,76.605,77.524,79.032,79.771,80.440,81.114,82.862,83.817,84.591,85.196,86.720,87.375,88.108,88.784,90.253,91.032,91.650,92.441,94.285,94.858,95.519,96.113,97.485,98.181,98.740,99.302,99.645,99.778,100.128,100.449,101.831,102.787,103.395,103.750,104.222,105.023,105.474,105.257,106.082,106.262,106.583,107.177,107.645,108.105,108.696,109.984,109.968,110.599,111.307,111.721,112.235,112.743,113.205,113.814
