"Table 1.3.5. Gross Value Added by Sector"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: January 29, 2016 - Next Release Date February 26, 2016"
"Line"," ","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"Line"," ","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV"
"1","        Gross domestic product",360.2,361.4,368.1,381.2,388.5,392.3,391.7,386.5,385.9,386.7,391.6,400.3,413.8,422.2,430.9,437.8,440.5,446.8,452.0,461.3,470.6,472.8,480.3,475.7,468.4,472.8,486.7,500.4,511.1,524.2,525.2,529.3,543.3,542.7,546.0,541.1,545.9,557.4,568.2,581.6,595.2,602.6,609.6,613.1,622.7,631.8,645.0,654.8,671.1,680.8,692.8,698.4,719.2,732.4,750.2,773.1,797.3,807.2,820.8,834.9,846.0,851.1,866.6,883.2,911.1,936.3,952.3,970.1,995.4,1011.4,1032.0,1040.7,1053.5,1070.1,1088.5,1091.5,1137.8,1159.4,1180.3,1193.6,1233.8,1270.1,1293.8,1332.0,1380.7,1417.6,1436.8,1479.1,1494.7,1534.2,1563.4,1603.0,1619.6,1656.4,1713.8,1765.9,1824.5,1856.9,1890.5,1938.4,1992.5,2060.2,2122.4,2168.7,2208.7,2336.6,2398.9,2482.2,2531.6,2595.9,2670.4,2730.7,2796.5,2799.9,2860.0,2993.5,3131.8,3167.3,3261.2,3283.5,3273.8,3331.3,3367.1,3407.8,3480.3,3583.8,3692.3,3796.1,3912.8,4015.0,4087.4,4147.6,4237.0,4302.3,4394.6,4453.1,4516.3,4555.2,4619.6,4669.4,4736.2,4821.5,4900.5,5022.7,5090.6,5207.7,5299.5,5412.7,5527.4,5628.4,5711.6,5763.4,5890.8,5974.7,6029.5,6023.3,6054.9,6143.6,6218.4,6279.3,6380.8,6492.3,6586.5,6697.6,6748.2,6829.6,6904.2,7032.8,7136.3,7269.8,7352.3,7476.7,7545.3,7604.9,7706.5,7799.5,7893.1,8061.5,8159.0,8287.1,8402.1,8551.9,8691.8,8788.3,8889.7,8994.7,9146.5,9325.7,9447.1,9557.0,9712.3,9926.1,10031.0,10278.3,10357.4,10472.3,10508.1,10638.4,10639.5,10701.3,10834.4,10934.8,11037.1,11103.8,11230.1,11370.7,11625.1,11816.8,11988.4,12181.4,12367.7,12562.2,12813.7,12974.1,13205.4,13381.6,13648.9,13799.8,13908.5,14066.4,14233.2,14422.3,14569.7,14685.3,14668.4,14813.0,14843.0,14549.9,14383.9,14340.4,14384.1,14566.5,14681.1,14888.6,15057.7,15230.2,15238.4,15460.9,15587.1,15785.3,15973.9,16121.9,16227.9,16297.3,16440.7,16526.8,16727.5,16957.6,16984.3,17270.0,17522.1,17615.9,17649.3,17913.7,18060.2,18128.2
"2","Business 1",293.4,292.8,297.9,310.1,316.2,318.7,317.5,311.8,310.6,309.9,313.7,320.9,333.6,340.3,347.6,352.9,354.2,358.8,362.1,369.9,377.5,377.9,383.5,377.9,368.7,370.8,382.8,395.3,404.7,416.5,415.8,418.1,429.8,426.8,427.9,421.0,424.1,434.2,443.0,453.4,464.5,470.1,475.1,476.1,483.5,490.6,501.8,508.7,522.4,529.5,539.1,542.4,561.2,571.4,585.2,603.5,624.1,630.1,638.4,648.1,655.9,657.4,668.6,679.8,702.8,723.1,733.3,746.8,767.8,778.6,791.1,794.7,801.4,813.2,826.5,824.1,861.2,877.2,893.0,900.3,932.1,964.0,982.7,1013.3,1056.4,1087.2,1100.4,1134.3,1142.5,1174.1,1194.6,1222.8,1229.6,1257.3,1306.5,1349.4,1401.3,1427.6,1454.7,1493.4,1540.3,1598.3,1649.1,1681.5,1714.4,1827.3,1874.7,1942.6,1981.6,2037.8,2098.0,2139.7,2189.2,2175.1,2217.8,2326.8,2448.8,2469.8,2547.7,2546.5,2521.3,2565.2,2584.3,2607.5,2666.4,2756.7,2851.1,2939.9,3036.8,3124.0,3175.9,3217.8,3291.4,3341.5,3415.0,3453.9,3500.1,3521.3,3567.8,3598.0,3645.2,3711.4,3768.1,3856.2,3903.7,3995.8,4065.7,4151.4,4241.4,4319.4,4378.1,4406.6,4504.4,4559.3,4585.6,4560.5,4563.5,4634.7,4691.7,4730.5,4807.3,4890.7,4964.7,5057.0,5083.3,5148.2,5203.7,5316.3,5395.2,5506.8,5568.4,5673.1,5714.2,5756.9,5844.4,5919.6,5993.1,6145.4,6225.7,6334.8,6425.1,6553.3,6669.1,6741.2,6817.9,6893.9,7014.9,7162.7,7251.8,7325.6,7453.6,7628.3,7688.2,7902.4,7947.5,8027.8,8027.0,8117.8,8078.4,8104.8,8191.3,8258.4,8331.9,8363.9,8436.9,8547.3,8774.7,8920.8,9046.8,9194.9,9335.1,9497.6,9694.3,9819.5,10012.3,10153.6,10366.2,10475.2,10546.8,10667.9,10786.0,10951.1,11062.3,11126.8,11042.7,11138.7,11119.9,10778.2,10598.9,10526.0,10553.7,10711.4,10810.5,10982.8,11141.5,11303.9,11287.9,11481.2,11590.2,11786.5,11936.7,12076.2,12164.5,12211.6,12337.0,12405.5,12579.5,12774.1,12765.7,13016.1,13232.3,13297.0,13311.9,13548.7,13653.3,13684.6
"3","    Nonfarm 2",273.1,271.8,275.5,290.7,296.6,299.8,299.2,293.8,291.4,291.7,295.4,303.8,316.2,322.4,330.3,336.4,337.5,341.9,344.8,352.5,361.0,361.1,366.3,360.8,349.1,351.1,363.8,377.2,386.7,399.5,399.1,400.5,412.8,408.8,409.3,401.8,405.1,416.5,425.0,434.7,445.5,451.7,457.2,457.7,464.5,472.3,483.5,490.3,505.2,512.4,522.2,524.3,542.1,551.5,565.1,582.9,601.3,609.9,618.3,628.0,635.7,637.9,648.1,659.6,682.5,703.3,712.5,725.6,746.9,756.2,767.8,770.0,777.2,790.2,802.3,800.7,836.6,852.3,867.9,873.5,907.6,936.5,952.7,976.7,1019.6,1042.6,1052.9,1076.2,1093.4,1133.5,1152.1,1177.9,1187.5,1214.3,1258.7,1299.9,1356.2,1385.0,1412.7,1450.9,1496.5,1556.3,1609.5,1632.7,1666.9,1775.4,1821.6,1892.2,1921.3,1979.3,2036.8,2079.2,2136.8,2135.1,2166.2,2265.4,2386.9,2406.1,2476.5,2483.5,2460.1,2505.0,2522.6,2548.8,2609.4,2709.9,2816.0,2899.0,2974.3,3059.5,3112.5,3151.5,3224.3,3277.9,3353.7,3391.2,3443.6,3465.0,3503.5,3535.4,3584.1,3650.3,3706.2,3792.1,3835.0,3934.6,4000.8,4100.7,4164.4,4246.8,4307.3,4331.3,4424.4,4480.9,4507.9,4485.6,4493.5,4562.7,4624.8,4658.0,4729.0,4809.3,4882.3,4979.8,5015.8,5073.2,5140.4,5237.1,5303.7,5420.5,5487.4,5597.5,5648.7,5693.7,5776.9,5842.1,5902.3,6043.6,6137.8,6244.8,6329.9,6470.7,6580.3,6655.2,6737.2,6816.7,6939.1,7080.4,7170.4,7254.5,7386.8,7563.8,7617.6,7823.3,7871.1,7949.7,7948.8,8041.6,7999.5,8025.7,8122.3,8193.2,8254.4,8279.6,8352.6,8454.5,8680.3,8819.8,8922.9,9071.2,9222.5,9382.2,9588.3,9713.1,9907.3,10052.8,10270.5,10377.2,10446.9,10564.1,10673.7,10843.1,10951.6,11003.5,10905.2,11008.4,10999.1,10661.4,10496.5,10421.2,10443.6,10589.6,10690.4,10857.1,11008.4,11163.9,11120.4,11319.2,11421.2,11620.1,11781.3,11926.2,12018.8,12056.7,12141.3,12213.0,12385.2,12596.9,12598.8,12824.6,13055.7,13123.2,13156.4,13396.2,13488.3,13516.0
"4","    Farm",20.3,21.1,22.4,19.4,19.6,18.9,18.3,17.9,19.1,18.2,18.3,17.1,17.4,17.9,17.3,16.5,16.7,16.9,17.3,17.3,16.4,16.8,17.3,17.2,19.6,19.7,19.0,18.1,18.0,16.9,16.7,17.6,17.0,18.0,18.6,19.1,19.0,17.7,17.9,18.7,19.0,18.4,17.9,18.4,19.0,18.3,18.2,18.4,17.2,17.1,16.9,18.2,19.1,19.9,20.1,20.6,22.8,20.3,20.1,20.1,20.2,19.5,20.5,20.2,20.2,19.8,20.7,21.2,20.9,22.4,23.3,24.7,24.1,23.0,24.2,23.4,24.6,25.0,25.1,26.8,24.5,27.6,29.9,36.6,36.8,44.6,47.6,58.1,49.1,40.6,42.4,44.9,42.1,43.1,47.8,49.5,45.0,42.6,42.0,42.5,43.8,42.0,39.6,48.8,47.6,51.9,53.1,50.4,60.3,58.5,61.1,60.5,52.4,40.0,51.6,61.4,61.9,63.7,71.2,63.0,61.2,60.2,61.6,58.7,57.0,46.8,35.1,40.9,62.5,64.5,63.4,66.2,67.2,63.6,61.3,62.7,56.5,56.2,64.3,62.5,61.1,61.1,61.9,64.1,68.7,61.2,64.9,50.8,77.0,72.6,70.8,75.3,80.0,78.5,77.7,75.0,70.0,72.0,66.9,72.5,78.3,81.4,82.4,77.3,67.6,75.0,63.3,79.2,91.5,86.2,81.0,75.6,65.5,63.1,67.4,77.5,90.8,101.8,87.9,90.1,95.2,82.6,88.8,85.9,80.7,77.3,75.8,82.3,81.4,71.0,66.8,64.5,70.6,79.1,76.4,78.1,78.3,76.2,78.9,79.0,69.1,65.3,77.5,84.3,84.3,92.8,94.4,101.0,123.9,123.7,112.6,115.4,106.0,106.3,105.0,100.8,95.7,98.0,99.9,103.9,112.2,107.9,110.7,123.3,137.5,130.3,120.8,116.8,102.4,104.8,110.1,121.8,120.1,125.7,133.1,140.0,167.5,162.0,169.0,166.4,155.3,150.0,145.7,154.9,195.7,192.5,194.3,177.2,166.8,191.6,176.6,173.8,155.5,152.4,165.0,168.6
"5","Households and institutions",21.5,22.1,22.9,23.3,24.0,24.8,25.4,25.7,26.2,26.8,27.4,28.4,28.7,29.4,30.3,31.2,31.5,32.0,32.9,33.6,34.2,34.8,35.6,36.2,37.0,38.1,38.5,39.0,39.9,40.7,41.8,43.0,43.9,44.9,45.7,46.7,47.2,47.6,48.2,49.4,50.4,51.3,52.4,53.4,54.0,54.7,55.5,56.4,57.4,58.4,59.1,60.1,60.9,62.2,63.7,65.2,66.0,67.0,68.8,70.3,71.5,72.7,74.0,75.4,76.8,78.4,80.1,82.2,84.1,86.3,88.7,91.2,92.4,94.0,96.0,98.5,101.6,103.9,106.3,109.1,111.5,113.7,115.7,118.3,120.9,124.0,127.0,130.4,133.3,136.5,139.9,143.6,147.4,150.9,154.8,158.7,161.9,164.8,167.9,170.9,173.5,178.4,184.3,189.9,190.8,200.9,209.5,216.8,220.4,224.6,231.4,239.2,247.6,256.1,264.9,274.0,281.7,289.3,297.6,307.2,314.8,320.6,329.9,337.1,344.0,351.4,358.8,368.8,375.4,381.7,392.2,401.4,403.6,411.1,419.4,429.1,439.2,447.9,456.1,463.4,475.5,485.3,499.2,521.3,526.6,540.9,552.3,567.2,575.8,587.0,597.8,609.1,621.3,636.4,652.9,659.2,668.9,678.8,688.0,700.1,708.2,723.8,735.1,747.7,764.4,775.3,786.6,797.9,812.4,825.0,839.9,852.5,868.2,880.5,890.3,903.9,914.7,925.2,936.8,949.6,962.1,975.9,991.6,1007.7,1020.8,1039.7,1058.9,1078.4,1092.9,1116.0,1128.2,1151.1,1174.3,1191.0,1212.4,1233.2,1248.5,1269.4,1290.2,1309.4,1330.3,1350.7,1365.7,1382.1,1401.8,1414.9,1429.4,1462.1,1473.4,1498.8,1528.0,1543.3,1567.1,1589.2,1610.6,1631.3,1659.3,1683.5,1699.6,1715.3,1727.7,1736.1,1752.4,1782.3,1814.6,1842.6,1867.1,1896.6,1895.5,1909.6,1917.6,1931.8,1918.3,1926.3,1932.7,1937.9,1953.9,1970.6,1983.3,1989.7,2013.5,2021.0,2034.0,2049.1,2061.8,2073.2,2095.6,2115.0,2139.3,2160.8,2183.7,2205.4,2213.3,2230.7,2259.0,2283.9
"6","    Households",15.6,16.4,17.1,17.3,17.7,18.4,19.0,19.3,19.6,20.0,20.5,21.2,21.6,22.0,22.6,23.3,23.7,24.0,24.5,24.9,25.4,25.9,26.5,26.9,27.3,28.1,28.6,29.0,29.5,30.1,30.9,31.7,32.2,32.8,33.4,34.1,34.5,34.7,35.2,36.1,36.7,37.2,38.0,38.7,39.0,39.4,40.0,40.4,41.0,41.7,42.2,42.7,43.3,44.0,44.9,45.8,46.2,46.6,47.6,48.6,49.2,49.9,50.6,51.4,52.0,52.9,53.6,54.6,55.8,57.0,58.2,59.4,60.2,60.9,62.1,63.9,65.5,66.9,68.7,70.3,71.7,72.8,74.0,75.3,76.9,78.5,80.2,82.2,84.1,85.5,87.4,89.5,91.8,93.9,95.9,98.3,100.4,102.4,104.2,105.8,107.2,110.6,114.4,117.1,121.9,125.1,128.3,133.3,136.3,139.1,143.6,149.0,153.6,158.6,163.6,169.3,173.7,178.5,183.7,190.0,194.1,196.9,202.2,206.1,210.3,214.5,218.0,224.2,227.5,229.8,237.5,244.0,244.5,249.5,254.3,260.2,266.1,271.0,275.4,279.2,285.3,290.4,299.6,306.5,313.5,317.9,324.2,333.1,337.4,343.8,349.6,355.3,361.1,369.0,377.7,381.3,385.5,388.3,393.2,399.9,403.5,410.7,417.4,423.8,435.1,440.5,446.7,454.1,464.5,473.6,483.9,491.9,500.8,509.4,515.9,524.9,530.9,537.1,543.9,550.8,558.5,566.5,576.0,585.6,592.4,602.6,612.8,623.4,634.5,646.9,657.4,668.5,682.3,693.4,706.4,721.4,733.8,747.8,761.1,769.9,778.7,788.1,793.0,802.3,815.9,822.0,828.1,847.6,857.4,872.4,886.7,901.8,922.4,937.6,951.4,964.8,981.5,996.8,1008.5,1015.6,1018.3,1021.0,1029.1,1046.6,1064.3,1082.1,1094.7,1105.1,1107.6,1107.3,1112.1,1113.4,1114.5,1112.0,1108.5,1110.7,1121.2,1128.9,1133.2,1138.5,1141.2,1144.2,1150.1,1154.9,1164.1,1169.5,1186.7,1201.9,1216.2,1229.6,1241.8,1250.9,1261.9,1274.0,1287.3,1299.4
"7","    Nonprofit institutions serving households 3",6.0,5.7,5.7,6.0,6.3,6.4,6.4,6.4,6.6,6.8,6.9,7.3,7.1,7.5,7.6,7.9,7.8,8.0,8.3,8.6,8.8,8.9,9.1,9.3,9.7,9.9,9.9,10.0,10.4,10.6,10.9,11.3,11.7,12.1,12.3,12.6,12.7,12.8,13.0,13.4,13.7,14.1,14.4,14.7,15.0,15.3,15.5,16.0,16.4,16.6,16.9,17.3,17.7,18.2,18.8,19.4,19.8,20.4,21.2,21.7,22.2,22.8,23.4,24.0,24.8,25.5,26.5,27.6,28.3,29.3,30.5,31.8,32.2,33.0,33.9,34.6,36.1,37.0,37.6,38.8,39.8,40.9,41.7,43.1,44.0,45.5,46.8,48.2,49.2,51.0,52.5,54.1,55.5,57.0,58.9,60.5,61.5,62.4,63.7,65.2,66.2,67.8,69.9,72.7,68.9,75.8,81.2,83.5,84.0,85.5,87.8,90.2,94.0,97.5,101.4,104.7,108.0,110.7,113.8,117.2,120.7,123.7,127.7,131.0,133.7,136.9,140.8,144.7,147.9,151.8,154.8,157.4,159.1,161.6,165.1,169.0,173.1,176.9,180.7,184.1,190.1,194.9,199.7,214.7,213.1,223.0,228.1,234.1,238.4,243.2,248.2,253.8,260.2,267.3,275.2,277.9,283.4,290.5,294.8,300.2,304.7,313.1,317.6,323.9,329.3,334.8,339.9,343.8,348.0,351.4,356.0,360.5,367.4,371.1,374.4,379.0,383.8,388.1,392.9,398.7,403.6,409.5,415.6,422.1,428.4,437.1,446.1,455.0,458.5,469.1,470.8,482.7,492.0,497.6,506.1,511.7,514.7,521.7,529.1,539.5,551.6,562.6,572.7,579.8,585.9,592.8,601.3,614.5,616.0,626.5,641.4,641.5,644.6,651.6,659.2,666.5,677.8,686.7,691.2,699.7,709.5,715.1,723.3,735.7,750.3,760.5,772.4,791.5,787.9,802.3,805.5,818.4,803.8,814.3,824.2,827.2,832.7,841.6,850.1,851.2,872.2,876.8,883.9,894.2,897.7,903.7,909.0,913.1,923.2,931.2,941.9,954.5,951.4,956.7,971.7,984.4
"8","General government 4",45.3,46.5,47.4,47.8,48.2,48.8,48.8,49.0,49.2,50.0,50.4,51.0,51.4,52.5,53.0,53.8,54.8,55.9,57.0,57.8,59.0,60.1,61.2,61.5,62.7,64.0,65.3,66.1,66.5,67.0,67.6,68.3,69.7,71.0,72.5,73.4,74.6,75.7,77.0,78.8,80.3,81.1,82.1,83.6,85.2,86.5,87.7,89.8,91.4,92.9,94.6,95.9,97.1,98.7,101.3,104.4,107.2,110.0,113.6,116.4,118.7,120.9,124.0,127.9,131.5,134.8,139.0,141.2,143.5,146.5,152.2,154.9,159.8,163.0,166.0,168.8,175.0,178.3,181.1,184.2,190.2,192.4,195.4,200.4,203.4,206.4,209.3,214.4,218.9,223.7,228.9,236.6,242.6,248.2,252.5,257.7,261.3,264.5,268.0,274.0,278.8,283.5,288.9,297.4,303.5,308.4,314.7,322.8,329.6,333.5,341.0,351.8,359.7,368.8,377.3,392.7,401.3,408.2,415.9,429.9,437.8,445.6,452.9,463.3,469.9,475.7,482.4,487.4,500.6,509.3,519.3,528.4,542.0,549.6,560.2,570.1,577.1,586.1,595.7,608.0,615.6,624.7,633.2,645.2,660.3,670.9,681.4,694.1,710.1,722.0,735.7,747.7,765.1,779.0,791.0,803.6,822.4,830.1,838.7,848.7,865.3,877.8,886.8,892.8,900.5,906.1,913.9,918.6,928.7,938.1,944.0,951.1,962.9,967.5,971.9,976.0,985.3,991.0,996.5,1002.7,1014.8,1022.7,1031.0,1039.5,1051.0,1061.1,1072.7,1084.5,1102.4,1115.4,1130.5,1146.6,1168.5,1184.9,1197.5,1211.3,1232.6,1251.2,1270.8,1287.2,1312.8,1325.7,1339.4,1357.9,1391.4,1408.4,1421.1,1434.0,1468.2,1487.7,1504.6,1521.3,1552.4,1565.4,1582.6,1596.7,1623.4,1641.1,1662.1,1683.2,1719.5,1735.2,1755.0,1776.3,1811.1,1831.7,1855.9,1875.1,1889.5,1904.9,1912.8,1923.3,1952.3,1979.5,1983.5,1988.4,1996.6,2009.2,2013.6,2009.1,2023.8,2024.7,2029.4,2036.7,2041.8,2048.2,2052.4,2068.5,2079.3,2093.0,2106.1,2113.6,2124.1,2134.4,2147.9,2159.8
