DATE,VALUE
1984-01-01,72.9
1984-04-01,73.8
1984-07-01,74.4
1984-10-01,75.0
1985-01-01,75.3
1985-04-01,76.0
1985-07-01,76.1
1985-10-01,76.7
1986-01-01,77.1
1986-04-01,77.1
1986-07-01,77.3
1986-10-01,77.7
1987-01-01,78.6
1987-04-01,79.2
1987-07-01,79.9
1987-10-01,80.6
1988-01-01,80.9
1988-04-01,81.6
1988-07-01,82.2
1988-10-01,82.9
1989-01-01,83.6
1989-04-01,83.7
1989-07-01,83.9
1989-10-01,84.2
1990-01-01,84.8
1990-04-01,84.5
1990-07-01,84.0
1990-10-01,83.5
1991-01-01,82.8
1991-04-01,82.2
1991-07-01,82.4
1991-10-01,82.4
1992-01-01,82.4
1992-04-01,83.1
1992-07-01,83.2
1992-10-01,83.5
1993-01-01,84.3
1993-04-01,85.1
1993-07-01,85.8
1993-10-01,86.6
1994-01-01,87.3
1994-04-01,88.6
1994-07-01,89.7
1994-10-01,90.5
1995-01-01,91.0
1995-04-01,91.0
1995-07-01,91.6
1995-10-01,92.0
1996-01-01,92.1
1996-04-01,93.3
1996-07-01,94.2
1996-10-01,94.9
1997-01-01,95.6
1997-04-01,96.7
1997-07-01,97.4
1997-10-01,98.2
1998-01-01,98.7
1998-04-01,99.0
1998-07-01,99.6
1998-10-01,100.2
1999-01-01,100.6
1999-04-01,101.2
1999-07-01,101.8
1999-10-01,102.6
2000-01-01,103.2
2000-04-01,103.5
2000-07-01,103.6
2000-10-01,103.5
2001-01-01,103.3
2001-04-01,102.6
2001-07-01,101.8
2001-10-01,100.6
2002-01-01,100.4
2002-04-01,100.3
2002-07-01,99.8
2002-10-01,99.5
2003-01-01,99.2
2003-04-01,98.5
2003-07-01,98.4
2003-10-01,98.9
2004-01-01,99.3
2004-04-01,100.0
2004-07-01,100.7
2004-10-01,101.2
2005-01-01,101.7
2005-04-01,102.5
2005-07-01,103.2
2005-10-01,103.8
2006-01-01,105.0
2006-04-01,105.7
2006-07-01,106.0
2006-10-01,106.4
2007-01-01,106.7
2007-04-01,107.4
2007-07-01,107.4
2007-10-01,107.7
2008-01-01,107.5
2008-04-01,106.9
2008-07-01,106.0
2008-10-01,103.7
2009-01-01,100.9
2009-04-01,98.7
2009-07-01,98.0
2009-10-01,97.7
2010-01-01,97.9
2010-04-01,98.6
2010-07-01,99.2
2010-10-01,99.9
2011-01-01,100.0
2011-04-01,101.1
2011-07-01,101.8
2011-10-01,102.6
2012-01-01,103.6
2012-04-01,103.8
2012-07-01,104.0
2012-10-01,104.8
2013-01-01,105.5
2013-04-01,106.0
2013-07-01,106.2
2013-10-01,106.9
2014-01-01,107.2
2014-04-01,108.4
2014-07-01,109.1
2014-10-01,109.9
2015-01-01,110.4
2015-04-01,110.6
2015-07-01,111.2
